"Numero","Pregunta"
"1","Departamento"
"2","Municipio"
"3","Vereda"
"4","Nombre de la unidad productora (finca)"
"5","Nombre del propietario"
"6","Numero de celular del propietario"
"7","Correo electronico del propietario"
"8","Nombre de la persona encargada del cultivo"
"9","Numero de celular de la persona encargada del cultivo"
"10","La unidad productora (finca) es propia, alquilado u otro"
"11","Hectareas del predio"
"12","Hay vivienda(s) en la unidad productora (finca)"
"13","Cuantas viviendas"
"14","Distancia de la finca al pueblo"
"15","Coordenadas"
"16","Altitud"
"17","Relieve montanoso"
"18","Planicie"
"19","Llanura de inundacion"
"20","Terrenos humedos"
"21","Terrenos secos"
"22","Erosion"
"23","Lluvia"
"24","Vientos fuertes"
"25","Nubosidad"
"26","Neblina"
"27","Temperatura"
"28","Presion atmosferica"
"29","Humedad Relativa"
"30","Fuentes de agua cerca"
"31","Cuantas fuentes de agua cerca"
"32","Campo con drenaje"
"33","Uso de tractores o maquinas pesadas"
"34","Uso de caballos"
"35","Obras de construccion"
"36","Que tipo de actividad economica realizan en la zona aledana (ganadera, el mismo cultivo, otros cultivos, fabricas, etc.)"
"37","Registro nacional del ICA"
"38","Asociacion cacaotera"
"39","Hectareas sembradas de cacao"
"40","La produccion de Cacao esta en varios lotes"
"41","En cuantas lotes esta la produccion"
"42","Sombrio"
"43","Clones sembrados en el cultivo (nombrar el clon y porcentaje sembrado de cada uno)"
"44","Especie vegetal de sombrio"
"45","Sombrio transitorio"
"46","Sombrio permanente"
"47","Cultivo transitorio"
"48","Vegetacion alta"
"49","Vegetacion baja"
"50","Pastizales"
"51","Otros cultivos"
"52","Se ha realizado estudios del suelo, fruto o agua"
"53","Tipo de enfermedades presentes en el fruto"
"54","Como es el proceso poscosecha"
"55","Tipos de biomasa/residuo"
"56","Cantidad de biomasa/residuo por tipo"
"57","Disposicion por tipo de biomasa/residuo"
"58","Tratamiento antes de la disposicion por tipo de biomasa/residuo"
"59","Valorizacion por tipo de biomasa/residuo"
"60","Tipo de valorizacion por tipo de biomasa/residuo"
"61","Efectos negativos generados por los residuos por tipo de biomasa/residuo"
"62","Conectividad"
"63","Senal de celular"
"64","Senal de celular con datos"
"65","Operador de datos"
